hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0.0499984, -2.06929E-006, 0.0500029, -4.84812E-007, 0.0499991, 2.79285E-006, 0, 0
2, 0.00000, 0.0500021, -1.47492E-006, 0.0500004, 3.26495E-006, 0.0499969, -1.57304E-006, 0, 0
3, 0.00000, 0.0500004, -2.71485E-006, 0.0500029, 2.1986E-006, 0.0499968, 1.46689E-006, 0, 0
4, 0.00000, 0.0500011, -7.4859E-007, 0.0500002, 1.65042E-006, 0.0499984, -7.91487E-007, 0, 0
5, 0.00000, 0.0500001, -4.51642E-007, 0.0500005, 3.94259E-007, 0.0499994, 2.26466E-007, 0, 0
6, 0.00000, 0.0499996, 3.81943E-006, 0.0499959, -2.83721E-006, 0.0500043, -2.27051E-006, 0, 0
7, 0.00000, 0.0499978, 1.47425E-006, 0.0499997, -3.44253E-006, 0.0500032, 1.75001E-006, 0, 0
8, 0.00000, 0.0499965, 2.1163E-006, 0.0499997, -5.35009E-006, 0.0500049, 2.90715E-006, 0, 0
9, 0.00000, 0.0499969, 1.57481E-006, 0.05, -4.60494E-006, 0.0500041, 2.75822E-006, 0, 0
10, 0.00000, 0.0499983, 7.48086E-007, 0.0500001, -2.46334E-006, 0.0500022, 1.57015E-006, 0, 0
11, 0.00000, 0.0499979, 7.93392E-007, 0.0500002, -2.93814E-006, 0.0500025, 1.96591E-006, 0, 0
12, 0.00000, 0.0499983, 5.09245E-007, 0.0500002, -2.24973E-006, 0.0500019, 1.59816E-006, 0, 0
13, 0.00000, 0.0500003, -5.54109E-007, 0.0500005, 6.19762E-007, 0.0499993, 7.95915E-008, 0, 0
14, 0.00000, 0.0500004, -5.76713E-007, 0.0500004, 8.11206E-007, 0.0499992, -5.71679E-008, 0, 0
15, 0.00000, 0.0499993, 1.15524E-006, 0.0499991, -1.48182E-006, 0.0500015, -1.41239E-008, 0, 0
16, 0.00000, 0.0499992, 1.03165E-006, 0.0499993, -1.51297E-006, 0.0500014, 1.64521E-007, 0, 0
17, 0.00000, 0.0499998, 8.30746E-008, 0.05, -2.21918E-007, 0.0500002, 1.04081E-007, 0, 0
18, 0.00000, 0.0500014, -5.04133E-007, 0.0499998, 1.97369E-006, 0.0499983, -1.34711E-006, 0, 0
19, 0.00000, 0.0500015, -2.61468E-006, 0.0500022, 3.30919E-006, 0.0499966, 1.29453E-007, 0, 0
20, 0.00000, -3.99988, -2.09959E-006, -4.00006, 0.000138317, -4.0001, -0.000137859, 0, 0
21, 0.00000, -4.50005, 8.74649E-005, -4.50009, -0.00012731, -4.49982, 1.11385E-005, 0, 0
22, 0.00000, -4.70001, 1.85882E-005, -4.70002, -2.77545E-005, -4.69996, 4.87416E-007, 0, 0
23, 0.00000, -5.00003, 0.000124041, -5.00014, -0.000121187, -4.99979, -4.33597E-005, 0, 0
24, 0.00000, 0.049999, -3.32085E-006, 0.0500038, 1.00264E-006, 0.0499973, 2.69882E-006, 0, 0
