hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, -17.4513, -4.88887, -17.4509, -4.88876, -17.4501, -4.88854
2, 0.00000, -16.1263, -4.51768, -16.1254, -4.5174, -16.1259, -4.51758
3, 0.00000, -15.6909, -4.39572, -15.6901, -4.39545, -15.6896, -4.39536
4, 0.00000, -15.0365, -4.2124, -15.0353, -4.21197, -15.0345, -4.21189
5, 0.00000, -14.9578, -4.19037, -14.958, -4.19035, -14.9572, -4.19016
6, 0.00000, -15.5296, -4.35051, -15.5306, -4.35085, -15.5313, -4.35094
7, 0.00000, -16.9348, -4.74419, -16.9358, -4.74446, -16.9353, -4.74428
8, 0.00000, -19.2725, -5.39903, -19.2742, -5.3995, -19.2732, -5.3993
9, 0.00000, -21.4455, -6.00777, -21.4471, -6.0082, -21.4461, -6.00809
10, 0.00000, -22.6815, -6.3541, -22.6844, -6.35448, -22.6851, -6.35538
11, 0.00000, -24.2297, -6.78771, -24.2307, -6.78802, -24.23, -6.78798
12, 0.00000, -25.4911, -7.14117, -25.4942, -7.1415, -25.4947, -7.14262
13, 0.00000, -25.3905, -7.11288, -25.3903, -7.11314, -25.3891, -7.11256
14, 0.00000, -25.2618, -7.07681, -25.2614, -7.07703, -25.2602, -7.07642
15, 0.00000, -25.5126, -7.14745, -25.5132, -7.14689, -25.5156, -7.14811
16, 0.00000, -25.7497, -7.21384, -25.7505, -7.21339, -25.7526, -7.21454
17, 0.00000, -25.7765, -7.22114, -25.7767, -7.22112, -25.7768, -7.22123
18, 0.00000, -24.6958, -6.91837, -24.6931, -6.91804, -24.6927, -6.91714
19, 0.00000, -24.1279, -6.75927, -24.1265, -6.75908, -24.1263, -6.75864
20, 0.00000, -13.7121, -6.5965, -13.9847, -6.60085, -13.6907, -6.64321
21, 0.00000, -11.5205, -6.33038, -11.7817, -6.33589, -11.5413, -6.38915
22, 0.00000, -22.5813, -6.326, -22.5808, -6.32589, -22.5788, -6.32529
23, 0.00000, -21.3441, -5.9794, -21.3422, -5.97886, -21.3428, -5.97907
24, 0.00000, -19.4887, -5.4596, -19.4858, -5.45875, -19.4866, -5.4592
