hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, -2.82832E-012, 3.11021E-012, 4.05363E-013, -3.87832E-013, 1.23939E-012, 7.76271E-012
2, 0.00000, -3.55441E-012, 1.04673E-012, -7.58069E-012, 7.0242E-012, -3.47852E-012, 4.55151E-012
3, 0.00000, -1.52875E-013, 3.61472E-012, -1.20846E-011, 4.79866E-012, -2.03797E-012, 2.08727E-011
4, 0.00000, -3.10894E-013, 4.53452E-012, -1.10551E-011, -2.64377E-012, -3.79166E-012, 1.29636E-011
5, 0.00000, -4.23683E-012, 2.72326E-012, 3.57305E-012, 3.09394E-012, 1.93714E-012, 8.16545E-012
6, 0.00000, -2.26874E-012, 4.37805E-013, 7.1171E-012, 6.07356E-012, -5.40128E-013, 8.34061E-012
7, 0.00000, 0.472098, 1.30957E-005, 0.939884, 1.56635E-005, 0.724723, -9.26737E-007
8, 0.00000, 2.52949, -7.00818E-005, 5.31273, 0.000129712, 4.00974, -0.000105631
9, 0.00000, 8.86238, 0.00035319, 19.3016, -0.000541393, 14.3362, 0.000278448
10, 0.00000, 16.4636, 0.00065708, 36.2676, -0.00092723, 26.7539, 0.000452211
11, 0.00000, 21.7548, -0.00128739, 48.8539, 0.0014787, 35.7161, -0.000229586
12, 0.00000, 26.0572, 0.0013219, 59.3598, -0.00128981, 43.0973, -0.000156891
13, 0.00000, 29.2602, -0.00278921, 66.2033, 0.00118246, 48.143, -0.0069048
14, 0.00000, 30.2846, 0.00101226, 68.2726, -0.0011121, 49.698, 0.0011436
15, 0.00000, 28.0266, -0.00213602, 63.6652, 0.00229008, 46.2462, -0.0025783
16, 0.00000, 23.2266, -0.00271894, 53.3684, 0.00240292, 38.6579, -0.00293667
17, 0.00000, 16.6528, -0.00181067, 38.6898, 0.000857866, 27.9652, -0.000790402
18, 0.00000, 8.98074, 0.000545882, 20.7637, -0.000801496, 15.0727, 0.000374806
19, 0.00000, 0.318397, -1.04431E-005, 0.740007, 2.3777E-005, 0.537613, -2.45977E-005
20, 0.00000, 4.09831E-013, 2.49142E-012, -9.24447E-012, 1.01175E-011, -8.709E-013, -3.35689E-012
21, 0.00000, 7.53441E-013, 5.3499E-012, 4.14278E-013, 1.16526E-011, -4.65834E-014, 1.09241E-011
22, 0.00000, 9.34113E-013, 2.55458E-012, -4.91691E-012, 5.27923E-012, 1.71536E-012, -4.21113E-013
23, 0.00000, -9.38961E-013, -8.99423E-013, -3.6318E-012, 3.80023E-012, -2.56543E-012, -3.13114E-012
24, 0.00000, 3.59542E-013, 2.08963E-012, -3.0327E-012, 1.53359E-011, -5.73578E-012, 4.95828E-012
